FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11178.0,11574.0,11108.0,11397.0,11400.0,11033.0,11397.0,1619.0,924282300.0,52200.0,52200,50,31-Dec-2025,,11327.85,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11496.0,11505.0,11469.0,11469.0,11469.0,11085.0,11469.0,5.0,2873550.0,200.0,200,50,31-Dec-2025,,11327.85,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11419.0,11500.0,11419.0,11500.0,11500.0,11148.0,11500.0,2.0,1145950.0,0.0,0,50,31-Dec-2025,,11327.85,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11427.0,11491.0,11272.0,11420.0,11401.0,11397.0,11420.0,606.0,344618500.0,60800.0,8600,50,01-Jan-2026,,11342.1,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11434.0,11480.0,11390.0,11480.0,11480.0,11469.0,11480.0,5.0,2859200.0,350.0,150,50,01-Jan-2026,,11342.1,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,0.0,0.0,0.0,11500.0,11500.0,11500.0,11500.0,0.0,0.0,0.0,0,50,01-Jan-2026,,11342.1,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11380.0,11380.0,11135.0,11243.0,11259.0,11420.0,11243.0,801.0,449110300.0,76300.0,15500,50,02-Jan-2026,,11181.8,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11355.0,11355.0,11210.0,11315.0,11320.0,11480.0,11315.0,61.0,34309000.0,2900.0,2550,50,02-Jan-2026,,11181.8,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11333.0,11333.0,11323.0,11323.0,11323.0,11500.0,11323.0,2.0,1132800.0,100.0,100,50,02-Jan-2026,,11181.8,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11287.0,11438.0,11151.0,11331.0,11318.0,11243.0,11331.0,623.0,351526400.0,83600.0,7300,50,05-Jan-2026,,11271.85,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11356.0,11490.0,11290.0,11394.0,11395.0,11315.0,11394.0,29.0,16463050.0,3550.0,650,50,05-Jan-2026,,11271.85,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11433.0,11433.0,11433.0,11433.0,11433.0,11323.0,11433.0,1.0,571650.0,150.0,50,50,05-Jan-2026,,11271.85,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11324.0,11400.0,11134.0,11253.0,11251.0,11331.0,11253.0,612.0,344349850.0,92200.0,8600,50,06-Jan-2026,,11201.9,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11393.0,11436.0,11197.0,11304.0,11302.0,11394.0,11304.0,52.0,29518450.0,4250.0,700,50,06-Jan-2026,,11201.9,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11433.0,11488.0,11433.0,11488.0,11488.0,11433.0,11488.0,2.0,1146050.0,200.0,50,50,06-Jan-2026,,11201.9,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11251.0,11276.0,11078.0,11256.0,11271.0,11253.0,11256.0,413.0,231024850.0,94450.0,2250,50,07-Jan-2026,,11198.05,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11193.0,11332.0,11133.0,11318.0,11312.0,11304.0,11318.0,23.0,12914350.0,4550.0,300,50,07-Jan-2026,,11198.05,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,0.0,0.0,0.0,11488.0,11488.0,11488.0,11488.0,0.0,0.0,200.0,0,50,07-Jan-2026,,11198.05,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11289.0,11702.0,11173.0,11242.0,11231.0,11256.0,11242.0,4452.0,2547843250.0,140850.0,46400,50,08-Jan-2026,,11209.0,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11354.0,11730.0,11265.0,11288.0,11265.0,11318.0,11288.0,112.0,64214200.0,5550.0,1000,50,08-Jan-2026,,11209.0,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11665.0,11700.0,11300.0,11300.0,11300.0,11488.0,11300.0,4.0,2316600.0,250.0,50,50,08-Jan-2026,,11209.0,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11264.0,11311.0,11047.0,11079.0,11060.0,11242.0,11079.0,1408.0,784970100.0,152000.0,11150,50,09-Jan-2026,,11042.9,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11237.0,11310.0,11108.0,11136.0,11112.0,11288.0,11136.0,76.0,42497300.0,7050.0,1500,50,09-Jan-2026,,11042.9,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11250.0,11250.0,11202.0,11202.0,11202.0,11300.0,11202.0,2.0,1122600.0,250.0,0,50,09-Jan-2026,,11042.9,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,11011.0,11300.0,10685.0,10793.0,10790.0,11079.0,10793.0,1741.0,944399350.0,163000.0,11000,50,12-Jan-2026,,10745.05,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11039.0,11039.0,10757.0,10843.0,10850.0,11136.0,10843.0,89.0,48357950.0,9550.0,2500,50,12-Jan-2026,,10745.05,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10950.0,10964.0,10875.0,10908.0,10875.0,11202.0,10908.0,9.0,4917800.0,700.0,450,50,12-Jan-2026,,10745.05,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10868.0,11018.0,10640.0,10765.0,10823.0,10793.0,10765.0,2431.0,1308457400.0,202750.0,39750,50,13-Jan-2026,,10724.95,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11049.0,11049.0,10704.0,10816.0,10869.0,10843.0,10816.0,104.0,56357600.0,9500.0,-50,50,13-Jan-2026,,10724.95,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11053.0,11053.0,10850.0,10850.0,10850.0,10908.0,10850.0,4.0,2187700.0,750.0,50,50,13-Jan-2026,,10724.95,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10765.0,10848.0,10617.0,10781.0,10777.0,10765.0,10781.0,1397.0,751855950.0,223350.0,20600,50,14-Jan-2026,,10741.05,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10826.0,10889.0,10690.0,10843.0,10863.0,10816.0,10843.0,111.0,60065250.0,10500.0,1000,50,14-Jan-2026,,10741.05,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10886.0,10886.0,10881.0,10881.0,10881.0,10850.0,10881.0,2.0,1088350.0,750.0,0,50,14-Jan-2026,,10741.05,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10750.0,10798.0,10631.0,10691.0,10692.0,10781.0,10691.0,560.0,299883250.0,225850.0,2500,50,16-Jan-2026,,10682.1,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10800.0,10811.0,10711.0,10746.0,10729.0,10843.0,10746.0,69.0,37135500.0,11450.0,950,50,16-Jan-2026,,10682.1,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10869.0,10869.0,10800.0,10800.0,10800.0,10881.0,10800.0,5.0,2709700.0,900.0,150,50,16-Jan-2026,,10682.1,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10563.0,10816.0,10509.0,10676.0,10624.0,10691.0,10676.0,674.0,360148400.0,223000.0,-2850,50,19-Jan-2026,,10647.55,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10704.0,10849.0,10594.0,10728.0,10708.0,10746.0,10728.0,141.0,75698650.0,13650.0,2200,50,19-Jan-2026,,10647.55,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10750.0,10880.0,10750.0,10793.0,10793.0,10800.0,10793.0,3.0,1621150.0,1050.0,150,50,19-Jan-2026,,10647.55,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10667.0,10680.0,10529.0,10566.0,10609.0,10676.0,10566.0,511.0,270192150.0,223050.0,50,50,20-Jan-2026,,10559.8,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10660.0,10702.0,10590.0,10622.0,10648.0,10728.0,10622.0,97.0,51581600.0,14600.0,950,50,20-Jan-2026,,10559.8,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10661.0,10661.0,10661.0,10661.0,10661.0,10793.0,10661.0,2.0,1066100.0,950.0,-100,50,20-Jan-2026,,10559.8,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10509.0,10663.0,10508.0,10610.0,10594.0,10566.0,10610.0,983.0,520865950.0,205500.0,-17550,50,21-Jan-2026,,10612.9,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10598.0,10719.0,10598.0,10669.0,10662.0,10622.0,10669.0,562.0,299557700.0,33500.0,18900,50,21-Jan-2026,,10612.9,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10725.0,10725.0,10725.0,10725.0,10725.0,10661.0,10725.0,1.0,536250.0,1000.0,50,50,21-Jan-2026,,10612.9,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10635.0,10794.0,10635.0,10739.0,10772.0,10610.0,10739.0,1619.0,865840200.0,140050.0,-65450,50,22-Jan-2026,,10735.0,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10732.0,10849.0,10699.0,10794.0,10833.0,10669.0,10794.0,1432.0,769828450.0,92150.0,58650,50,22-Jan-2026,,10735.0,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10770.0,10829.0,10770.0,10829.0,10829.0,10725.0,10829.0,4.0,2159600.0,950.0,-50,50,22-Jan-2026,,10735.0,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10727.0,10798.0,10576.0,10654.0,10715.0,10739.0,10654.0,1711.0,912910100.0,76050.0,-64000,50,23-Jan-2026,,10668.15,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10703.0,10847.0,10627.0,10701.0,10742.0,10794.0,10701.0,1728.0,926651400.0,147950.0,55800,50,23-Jan-2026,,10668.15,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10837.0,10907.0,10690.0,10742.0,10742.0,10829.0,10742.0,8.0,4304100.0,1000.0,50,50,23-Jan-2026,,10668.15,
FUTSTK,BAJAJHLDNG,27-Jan-2026,,XX,N,10686.0,10686.0,10461.0,10626.0,10600.0,10654.0,10626.0,1820.0,960773350.0,21100.0,-54950,50,27-Jan-2026,,10609.0,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10857.0,10857.0,10533.0,10678.0,10673.0,10701.0,10678.0,1960.0,1040179600.0,204800.0,56850,50,27-Jan-2026,,10609.0,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10667.0,10667.0,10667.0,10667.0,10667.0,10742.0,10667.0,2.0,1066700.0,1100.0,100,50,27-Jan-2026,,10609.0,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10677.0,10800.0,10621.0,10732.0,10766.0,10678.0,10732.0,664.0,355543350.0,202350.0,-2450,50,28-Jan-2026,,10703.95,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10731.0,10821.0,10706.0,10706.0,10706.0,10667.0,10706.0,4.0,2153700.0,1150.0,50,50,28-Jan-2026,,10703.95,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,0.0,0.0,0.0,10774.0,0.0,10774.0,10774.0,0.0,0.0,0.0,0,50,28-Jan-2026,,10703.95,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10714.0,10810.0,10658.0,10751.0,10770.0,10732.0,10751.0,745.0,399513050.0,199600.0,-2750,50,29-Jan-2026,,10727.0,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10780.0,10857.0,10761.0,10796.0,10796.0,10706.0,10796.0,24.0,12943350.0,1950.0,800,50,29-Jan-2026,,10727.0,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,10889.0,10889.0,10878.0,10885.0,10886.0,10774.0,10885.0,3.0,1632650.0,150.0,150,50,29-Jan-2026,,10727.0,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10760.0,10915.0,10682.0,10816.0,10770.0,10751.0,10816.0,686.0,371355300.0,195150.0,-4450,50,30-Jan-2026,,10799.95,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10735.0,10910.0,10735.0,10910.0,10910.0,10796.0,10910.0,3.0,1627000.0,2000.0,50,50,30-Jan-2026,,10799.95,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,0.0,0.0,0.0,10885.0,10886.0,10885.0,10885.0,0.0,0.0,150.0,0,50,30-Jan-2026,,10799.95,
FUTSTK,BAJAJHLDNG,24-Feb-2026,0.0,XX,N,10765.0,10806.0,10469.0,10555.0,10548.0,10816.0,10555.0,20200.0,214868450.0,193700.0,-1450,50,01-Feb-2026,2026-01-31T18:30:00.000+00:00,10521.0,214868450.0
FUTSTK,BAJAJHLDNG,30-Mar-2026,0.0,XX,N,10852.0,10852.0,10533.0,10578.0,10560.0,10910.0,10578.0,900.0,9578550.0,1950.0,-50,50,01-Feb-2026,2026-01-31T18:30:00.000+00:00,10521.0,9578550.0
FUTSTK,BAJAJHLDNG,28-Apr-2026,0.0,XX,N,10752.0,10752.0,10752.0,10752.0,10752.0,10885.0,10659.0,50.0,537600.0,200.0,50,50,01-Feb-2026,2026-01-31T18:30:00.000+00:00,10521.0,537600.0
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10548.0,10707.0,10409.0,10681.0,10689.0,10555.0,10681.0,654.0,344756050.0,188300.0,-5400,50,02-Feb-2026,,10660.4,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10544.0,10757.0,10485.0,10731.0,10757.0,10578.0,10731.0,22.0,11664350.0,2150.0,200,50,02-Feb-2026,,10660.4,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,10559.0,10559.0,10559.0,10559.0,10559.0,10752.0,10559.0,1.0,527950.0,250.0,50,50,02-Feb-2026,,10660.4,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10854.0,11066.0,10812.0,10960.0,10994.0,10681.0,10960.0,1439.0,788346100.0,198100.0,9800,50,03-Feb-2026,,10915.05,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10915.0,11102.0,10910.0,11032.0,11035.0,10731.0,11032.0,41.0,22539650.0,2550.0,400,50,03-Feb-2026,,10915.05,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,0.0,0.0,0.0,10559.0,10559.0,10559.0,10559.0,0.0,0.0,250.0,0,50,03-Feb-2026,,10915.05,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10949.0,11114.0,10875.0,10940.0,10947.0,10960.0,10940.0,668.0,367373500.0,206100.0,8000,50,04-Feb-2026,,10889.1,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11007.0,11158.0,10972.0,10992.0,10992.0,11032.0,10992.0,28.0,15461150.0,2600.0,50,50,04-Feb-2026,,10889.1,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,0.0,0.0,0.0,10559.0,10559.0,10559.0,10559.0,0.0,0.0,250.0,0,50,04-Feb-2026,,10889.1,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11149.0,11357.0,10869.0,10934.0,10950.0,10940.0,10934.0,2289.0,1273826250.0,205500.0,-600,50,05-Feb-2026,,10891.25,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11123.0,11413.0,10950.0,10984.0,10973.0,10992.0,10984.0,116.0,64939250.0,3700.0,1100,50,05-Feb-2026,,10891.25,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,11352.0,11352.0,11083.0,11083.0,11083.0,10559.0,11083.0,6.0,3363450.0,350.0,100,50,05-Feb-2026,,10891.25,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10943.0,11037.0,10684.0,11022.0,11023.0,10934.0,11022.0,745.0,404158400.0,200500.0,-5000,50,06-Feb-2026,,10998.9,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10782.0,11091.0,10771.0,11086.0,11083.0,10984.0,11086.0,38.0,20822450.0,3800.0,100,50,06-Feb-2026,,10998.9,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,0.0,0.0,0.0,11083.0,11083.0,11083.0,11083.0,0.0,0.0,350.0,0,50,06-Feb-2026,,10998.9,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11094.0,11174.0,11005.0,11114.0,11076.0,11022.0,11114.0,668.0,370923150.0,201000.0,500,50,09-Feb-2026,,11100.95,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11178.0,11210.0,11087.0,11176.0,11175.0,11086.0,11176.0,24.0,13402350.0,3750.0,-50,50,09-Feb-2026,,11100.95,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,0.0,0.0,0.0,11083.0,11083.0,11083.0,11083.0,0.0,0.0,350.0,0,50,09-Feb-2026,,11100.95,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11035.0,11185.0,11032.0,11118.0,11088.0,11114.0,11118.0,467.0,259487050.0,205000.0,4000,50,10-Feb-2026,,11080.85,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11140.0,11233.0,11079.0,11175.0,11184.0,11176.0,11175.0,131.0,73274900.0,7850.0,4100,50,10-Feb-2026,,11080.85,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,11200.0,11200.0,11200.0,11200.0,11200.0,11083.0,11200.0,4.0,2240000.0,550.0,200,50,10-Feb-2026,,11080.85,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11133.0,11220.0,11047.0,11120.0,11124.0,11118.0,11120.0,488.0,271846100.0,204100.0,-900,50,11-Feb-2026,,11110.85,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11120.0,11269.0,11117.0,11186.0,11162.0,11175.0,11186.0,32.0,17957000.0,7950.0,100,50,11-Feb-2026,,11110.85,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,11291.0,11328.0,11261.0,11261.0,11261.0,11200.0,11261.0,7.0,3946200.0,900.0,350,50,11-Feb-2026,,11110.85,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,11073.0,11154.0,10999.0,11052.0,11046.0,11120.0,11052.0,460.0,254524350.0,206750.0,2650,50,12-Feb-2026,,11040.45,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11134.0,11205.0,11091.0,11113.0,11139.0,11186.0,11113.0,23.0,12801950.0,7800.0,-150,50,12-Feb-2026,,11040.45,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,11201.0,11267.0,11161.0,11161.0,11161.0,11261.0,11161.0,4.0,2244800.0,850.0,-50,50,12-Feb-2026,,11040.45,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10965.0,10973.0,10833.0,10882.0,10862.0,11052.0,10882.0,462.0,251526650.0,206400.0,-350,50,13-Feb-2026,,10881.0,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,11010.0,11010.0,10896.0,10953.0,10944.0,11113.0,10953.0,31.0,16985450.0,8050.0,250,50,13-Feb-2026,,10881.0,
FUTSTK,BAJAJHLDNG,28-Apr-2026,,XX,N,11029.0,11029.0,11029.0,11029.0,11029.0,11161.0,11029.0,1.0,551450.0,900.0,50,50,13-Feb-2026,,10881.0,
FUTSTK,BAJAJHLDNG,24-Feb-2026,,XX,N,10830.0,11260.0,10757.0,11167.0,11160.0,10882.0,11167.0,771.0,429174150.0,207000.0,600,50,16-Feb-2026,,11133.0,
FUTSTK,BAJAJHLDNG,30-Mar-2026,,XX,N,10921.0,11329.0,10921.0,11225.0,11239.0,10953.0,11225.0,56.0,31373500.0,9000.0,950,50,16-Feb-2026,,11133.0,
