pair,strategy,entry_date,exit_date,days,direction,entry_z,exit_z,gross,charges,net,reason,win,shares_a,shares_b,entry_spread,exit_spread
LICHSGFIN/PFC,PAIRS,2024-05-03,2024-05-06,3,BUY_A,-2.563,-1.322,168679.0,20242.0,148438.0,INTRADAY,True,3000,3900,,
LICHSGFIN/PFC,PAIRS,2024-05-24,2024-06-04,11,BUY_A,-2.745,-1.313,186037.0,22324.0,163713.0,INTRADAY,True,3000,3900,,
TATAPOWER/NHPC,PAIRS,2024-05-31,2024-06-04,4,BUY_A,-2.648,-1.439,580526.0,69663.0,510863.0,INTRADAY,True,7250,51200,,
ICICIBANK/HDFCBANK,PAIRS,2024-06-19,2024-06-27,8,BUY_A,-2.511,-1.248,68844.0,8261.0,60583.0,INTRADAY,True,1400,2750,,
LT/GMRAIRPORT,PAIRS,2024-06-18,2024-07-10,22,BUY_A,-3.087,-1.333,66100.0,7932.0,58168.0,INTRADAY,True,350,34875,,
TATAPOWER/NHPC,PAIRS,2024-07-11,2024-07-19,8,BUY_A,-2.771,-1.533,267127.0,32055.0,235072.0,INTRADAY,True,7250,51200,,
NMDC/COALINDIA,PAIRS,2024-07-16,2024-07-23,7,BUY_A,-2.543,-1.599,250762.0,30091.0,220671.0,INTRADAY,True,45000,12600,,
NMDC/COALINDIA,PAIRS,2024-08-01,2024-09-02,32,BUY_A,-2.576,-1.367,-203897.0,24468.0,-228364.0,TIME_STOP,False,45000,12600,,
LT/GMRAIRPORT,PAIRS,2024-10-07,2024-10-10,3,SELL_A,3.123,1.427,162122.0,19455.0,142667.0,INTRADAY,True,350,34875,,
LT/GMRAIRPORT,PAIRS,2024-10-21,2024-11-19,29,SELL_A,2.966,1.06,-22611.0,2713.0,-25324.0,INTRADAY,False,350,34875,,
NMDC/COALINDIA,PAIRS,2024-10-28,2024-11-27,30,SELL_A,3.244,1.427,-98859.0,11863.0,-110722.0,TIME_STOP,False,45000,12600,,
ICICIBANK/HDFCBANK,PAIRS,2024-12-04,2024-12-13,9,BUY_A,-2.653,-1.503,54668.0,6560.0,48108.0,INTRADAY,True,1400,2750,,
LT/GMRAIRPORT,PAIRS,2025-01-13,2025-01-17,4,SELL_A,3.377,1.16,203123.0,24375.0,178749.0,INTRADAY,True,350,34875,,
TATAPOWER/NHPC,PAIRS,2025-02-20,2025-02-25,5,BUY_A,-2.896,-1.101,164103.0,19692.0,144410.0,INTRADAY,True,7250,51200,,
NMDC/COALINDIA,PAIRS,2025-03-24,2025-03-27,3,SELL_A,2.517,2.125,135531.0,16264.0,119267.0,INTRADAY,True,135000,12600,,
NMDC/COALINDIA,PAIRS,2025-04-01,2025-04-04,3,SELL_A,2.543,0.317,465425.0,55851.0,409574.0,PROFIT,True,135000,12600,,
TATAPOWER/NHPC,PAIRS,2025-04-07,2025-04-21,14,BUY_A,-2.828,-1.862,85861.0,10303.0,75558.0,INTRADAY,True,7250,51200,,
ICICIBANK/HDFCBANK,PAIRS,2025-04-22,2025-04-23,1,BUY_A,-2.845,-1.128,68384.0,8206.0,60178.0,INTRADAY,True,1400,2750,,
TATAPOWER/NHPC,PAIRS,2025-04-22,2025-04-25,3,BUY_A,-2.568,-1.092,260697.0,31284.0,229413.0,INTRADAY,True,7250,51200,,
LT/GMRAIRPORT,PAIRS,2025-04-03,2025-05-05,32,BUY_A,-3.509,-1.57,-219168.0,26300.0,-245468.0,TIME_STOP,False,350,34875,,
ICICIBANK/HDFCBANK,PAIRS,2025-06-26,2025-07-15,19,BUY_A,-3.258,-1.62,11881.0,1426.0,10456.0,INTRADAY,True,1400,2750,,
LICHSGFIN/PFC,PAIRS,2025-08-06,2025-08-07,1,BUY_A,-2.688,-1.741,45936.0,5512.0,40424.0,INTRADAY,True,3000,3900,,
LICHSGFIN/PFC,PAIRS,2025-08-11,2025-08-19,8,BUY_A,-2.855,-1.342,46466.0,5576.0,40890.0,INTRADAY,True,3000,3900,,
ULTRACEMCO/GRASIM,PAIRS,2025-10-03,2025-10-08,5,BUY_A,-2.506,-1.931,41812.0,5017.0,36795.0,INTRADAY,True,250,1250,,
NMDC/COALINDIA,PAIRS,2025-10-09,2025-10-14,5,SELL_A,2.858,1.584,184050.0,22086.0,161964.0,INTRADAY,True,67500,12600,,
LICHSGFIN/PFC,PAIRS,2025-10-28,2025-10-29,1,SELL_A,2.552,1.505,49480.0,5938.0,43542.0,INTRADAY,True,3000,3900,,
ULTRACEMCO/GRASIM,PAIRS,2025-10-24,2025-11-06,13,BUY_A,-2.701,0.352,174500.0,20940.0,153560.0,PROFIT,True,250,1250,,
ICICIBANK/HDFCBANK,PAIRS,2025-10-20,2025-11-07,18,BUY_A,-2.842,-1.343,1859.0,223.0,1636.0,INTRADAY,True,1400,2750,,
LICHSGFIN/PFC,PAIRS,2025-11-10,2025-11-20,10,SELL_A,2.68,1.034,43140.0,5177.0,37963.0,INTRADAY,True,3000,3900,,
LT/GMRAIRPORT,PAIRS,2025-11-18,2025-12-05,17,BUY_A,-4.448,-1.372,66317.0,7958.0,58359.0,INTRADAY,True,350,34875,,
LICHSGFIN/PFC,PAIRS,2026-01-12,2026-01-16,4,BUY_A,-2.858,-1.895,51798.0,6216.0,45582.0,INTRADAY,True,3000,3900,,
ICICIBANK/HDFCBANK,PAIRS,2026-01-06,2026-01-27,21,SELL_A,4.059,1.348,830.0,100.0,730.0,INTRADAY,True,1400,2750,,
NMDC/COALINDIA,PAIRS,2026-01-22,2026-01-28,6,BUY_A,-2.664,-2.735,72769.0,8732.0,64037.0,INTRADAY,True,67500,16200,,
NMDC/COALINDIA,PAIRS,2026-01-28,2026-02-02,5,BUY_A,-2.735,-0.87,323326.0,38799.0,284527.0,PROFIT,True,67500,16200,,
LICHSGFIN/PFC,PAIRS,2026-01-28,2026-02-25,28,BUY_A,-2.728,-1.17,-68007.0,8161.0,-76168.0,INTRADAY,False,3000,3900,,
NMDC/COALINDIA,PAIRS,2026-03-05,2026-03-06,1,BUY_A,-2.625,-1.575,322650.0,38718.0,283932.0,INTRADAY,True,67500,16200,,
NMDC/COALINDIA,PAIRS,2026-03-12,2026-03-24,12,BUY_A,-2.749,-1.262,224910.0,26989.0,197920.0,INTRADAY,True,67500,16200,,
HINDUNILVR_CAL,CALENDAR,2024-04-25,2024-04-26,1,SELL_NEAR,5.849,4.277,5557.0,667.0,4891.0,INTRADAY,True,300,300,5.8,-12.73
HINDUNILVR_CAL,CALENDAR,2024-04-29,2024-05-02,3,SELL_NEAR,3.542,2.65,3442.0,413.0,3029.0,INTRADAY,True,300,300,7.55,-3.92
HINDUNILVR_CAL,CALENDAR,2024-05-03,2024-05-06,3,SELL_NEAR,2.48,2.223,6307.0,757.0,5551.0,INTRADAY,True,300,300,8.7,-12.32
HINDUNILVR_CAL,CALENDAR,2024-08-29,2024-08-30,1,SELL_NEAR,4.976,1.151,8168.0,980.0,7187.0,INTRADAY,True,300,300,-4.45,-31.68
HINDUNILVR_CAL,CALENDAR,2024-09-03,2024-09-04,1,SELL_NEAR,2.563,1.686,10320.0,1238.0,9082.0,INTRADAY,True,300,300,-9.1,-43.5
HINDUNILVR_CAL,CALENDAR,2024-09-06,2024-09-09,3,SELL_NEAR,2.05,2.434,12825.0,1539.0,11286.0,INTRADAY,True,300,300,-9.4,-52.15
HINDUNILVR_CAL,CALENDAR,2024-10-08,2024-10-09,1,SELL_NEAR,2.43,2.424,9202.0,1104.0,8098.0,INTRADAY,True,300,300,-4.5,-35.17
HINDUNILVR_CAL,CALENDAR,2024-10-10,2024-10-11,1,SELL_NEAR,2.779,2.576,6623.0,795.0,5828.0,INTRADAY,True,300,300,-0.6,-22.67
HINDUNILVR_CAL,CALENDAR,2024-10-14,2024-10-15,1,SELL_NEAR,2.306,2.263,4335.0,520.0,3815.0,INTRADAY,True,300,300,-0.15,-14.6
HINDUNILVR_CAL,CALENDAR,2024-10-16,2024-10-17,1,SELL_NEAR,2.158,2.137,8265.0,992.0,7273.0,INTRADAY,True,300,300,1.35,-26.2
HINDUNILVR_CAL,CALENDAR,2025-01-03,2025-01-06,3,SELL_NEAR,2.189,0.599,7208.0,865.0,6343.0,INTRADAY,True,300,300,-12.6,-36.62
HINDUNILVR_CAL,CALENDAR,2025-04-24,2025-04-25,1,SELL_NEAR,5.7,4.416,5595.0,671.0,4924.0,INTRADAY,True,300,300,7.1,-11.55
HINDUNILVR_CAL,CALENDAR,2025-04-28,2025-04-29,1,SELL_NEAR,3.694,3.074,3390.0,407.0,2983.0,INTRADAY,True,300,300,11.5,0.2
HINDUNILVR_CAL,CALENDAR,2025-04-30,2025-05-02,2,SELL_NEAR,2.643,2.58,5400.0,648.0,4752.0,INTRADAY,True,300,300,10.5,-7.5
HINDUNILVR_CAL,CALENDAR,2025-05-05,2025-05-06,1,SELL_NEAR,2.129,2.013,5820.0,698.0,5122.0,INTRADAY,True,300,300,10.5,-8.9
HINDUNILVR_CAL,CALENDAR,2025-08-19,2025-08-20,1,BUY_NEAR,-2.091,-0.977,13500.0,1620.0,11880.0,INTRADAY,True,300,300,-15.1,29.9
HINDUNILVR_CAL,CALENDAR,2025-08-28,2025-08-29,1,SELL_NEAR,2.272,1.693,12195.0,1463.0,10732.0,INTRADAY,True,300,300,-11.4,-52.05
HINDUNILVR_CAL,CALENDAR,2025-09-02,2025-09-03,1,SELL_NEAR,3.06,0.777,3060.0,367.0,2693.0,INTRADAY,True,300,300,-10.3,-20.5
HINDUNILVR_CAL,CALENDAR,2025-09-08,2025-09-09,1,SELL_NEAR,2.376,2.17,4995.0,599.0,4396.0,INTRADAY,True,300,300,-10.5,-27.15
HINDUNILVR_CAL,CALENDAR,2025-09-10,2025-09-11,1,SELL_NEAR,3.118,2.869,4815.0,578.0,4237.0,INTRADAY,True,300,300,-8.5,-24.55
HINDUNILVR_CAL,CALENDAR,2025-09-30,2025-10-01,1,SELL_NEAR,5.346,4.115,6300.0,756.0,5544.0,INTRADAY,True,300,300,6.0,-15.0
HINDUNILVR_CAL,CALENDAR,2025-10-03,2025-10-06,3,SELL_NEAR,3.463,2.816,9015.0,1082.0,7933.0,INTRADAY,True,300,300,7.9,-22.15
HINDUNILVR_CAL,CALENDAR,2025-10-07,2025-10-08,1,SELL_NEAR,2.334,2.01,5790.0,695.0,5095.0,INTRADAY,True,300,300,5.3,-14.0
HINDUNILVR_CAL,CALENDAR,2026-02-01,2026-02-02,1,BUY_NEAR,-2.05,0.683,2130.0,256.0,1874.0,PROFIT,True,300,300,-19.4,-12.3
AXISBANK_CAL,CALENDAR,2024-06-04,2024-06-05,1,SELL_NEAR,2.054,-1.098,844.0,101.0,743.0,PROFIT,True,625,625,-6.8,-8.15
AXISBANK_CAL,CALENDAR,2024-06-07,2024-06-10,3,SELL_NEAR,2.049,-0.605,750.0,90.0,660.0,PROFIT,True,625,625,-6.75,-7.95
AXISBANK_CAL,CALENDAR,2024-07-02,2024-07-03,1,BUY_NEAR,-2.56,-0.394,13578.0,1629.0,11949.0,INTRADAY,True,625,625,-9.05,12.68
AXISBANK_CAL,CALENDAR,2024-07-12,2024-07-15,3,BUY_NEAR,-2.291,-1.114,5984.0,718.0,5266.0,INTRADAY,True,625,625,-9.2,0.38
AXISBANK_CAL,CALENDAR,2024-07-16,2024-07-18,2,BUY_NEAR,-2.026,-1.694,6703.0,804.0,5899.0,INTRADAY,True,625,625,-9.15,1.58
AXISBANK_CAL,CALENDAR,2024-08-20,2024-08-21,1,SELL_NEAR,2.126,1.276,4812.0,577.0,4235.0,INTRADAY,True,625,625,-6.15,-13.85
AXISBANK_CAL,CALENDAR,2024-10-23,2024-10-24,1,SELL_NEAR,2.096,-1.062,906.0,109.0,798.0,PROFIT,True,625,625,-6.7,-8.15
AXISBANK_CAL,CALENDAR,2024-11-19,2024-11-21,2,SELL_NEAR,2.214,-0.163,906.0,109.0,797.0,PROFIT,True,625,625,-6.05,-7.5
AXISBANK_CAL,CALENDAR,2025-01-20,2025-01-21,1,SELL_NEAR,2.071,1.556,10109.0,1213.0,8896.0,INTRADAY,True,625,625,-5.4,-21.57
AXISBANK_CAL,CALENDAR,2025-01-22,2025-01-23,1,SELL_NEAR,2.509,2.421,5109.0,613.0,4496.0,INTRADAY,True,625,625,-4.7,-12.88
AXISBANK_CAL,CALENDAR,2025-02-05,2025-02-06,1,SELL_NEAR,2.549,0.345,9547.0,1146.0,8401.0,INTRADAY,True,625,625,-3.4,-18.68
AXISBANK_CAL,CALENDAR,2025-05-12,2025-05-13,1,SELL_NEAR,2.217,0.474,7875.0,945.0,6930.0,INTRADAY,True,625,625,-5.1,-17.7
AXISBANK_CAL,CALENDAR,2025-06-26,2025-06-27,1,BUY_NEAR,-2.134,-0.441,8500.0,1020.0,7480.0,INTRADAY,True,625,625,-7.5,6.1
AXISBANK_CAL,CALENDAR,2025-07-15,2025-07-16,1,SELL_NEAR,2.197,1.79,5563.0,668.0,4895.0,INTRADAY,True,625,625,-5.7,-14.6
AXISBANK_CAL,CALENDAR,2025-07-18,2025-07-21,3,SELL_NEAR,2.209,2.22,8781.0,1054.0,7728.0,INTRADAY,True,625,625,-5.5,-19.55
AXISBANK_CAL,CALENDAR,2025-07-22,2025-07-23,1,SELL_NEAR,2.55,2.144,3938.0,473.0,3465.0,INTRADAY,True,625,625,-5.1,-11.4
AXISBANK_CAL,CALENDAR,2025-10-17,2025-10-20,3,BUY_NEAR,-2.204,-1.655,6437.0,772.0,5665.0,INTRADAY,True,625,625,-7.2,3.1
AXISBANK_CAL,CALENDAR,2025-10-28,2025-10-29,1,BUY_NEAR,-2.359,-2.371,2938.0,353.0,2585.0,INTRADAY,True,625,625,-8.0,-3.3
AXISBANK_CAL,CALENDAR,2025-11-03,2025-11-04,1,BUY_NEAR,-2.125,-1.801,4656.0,559.0,4098.0,INTRADAY,True,625,625,-8.4,-0.95
AXISBANK_CAL,CALENDAR,2025-12-31,2026-01-01,1,SELL_NEAR,2.921,1.235,5563.0,668.0,4895.0,INTRADAY,True,625,625,-6.5,-15.4
AXISBANK_CAL,CALENDAR,2026-01-12,2026-01-13,1,SELL_NEAR,2.16,2.473,7687.0,922.0,6765.0,INTRADAY,True,625,625,-6.5,-18.8
AXISBANK_CAL,CALENDAR,2026-01-27,2026-01-28,1,BUY_NEAR,-3.082,2.662,2875.0,345.0,2530.0,PROFIT,True,625,625,-10.0,-5.4
KOTAKBANK_CAL,CALENDAR,2024-05-03,2024-05-06,3,SELL_NEAR,2.134,1.245,8990.0,1079.0,7911.0,INTRADAY,True,400,400,-11.15,-33.62
KOTAKBANK_CAL,CALENDAR,2024-06-19,2024-06-20,1,SELL_NEAR,2.395,-0.888,1340.0,161.0,1179.0,PROFIT,True,400,400,-9.45,-12.8
KOTAKBANK_CAL,CALENDAR,2024-07-05,2024-07-08,3,SELL_NEAR,2.308,0.51,4620.0,554.0,4066.0,INTRADAY,True,400,400,-9.6,-21.15
KOTAKBANK_CAL,CALENDAR,2024-09-13,2024-09-16,3,BUY_NEAR,-2.18,-0.525,3470.0,416.0,3054.0,INTRADAY,True,400,400,-12.75,-4.08
KOTAKBANK_CAL,CALENDAR,2024-10-15,2024-10-16,1,SELL_NEAR,2.088,-0.425,1160.0,139.0,1021.0,PROFIT,True,400,400,-9.6,-12.5
KOTAKBANK_CAL,CALENDAR,2024-11-28,2024-11-29,1,BUY_NEAR,-2.82,-0.455,3630.0,436.0,3194.0,INTRADAY,True,400,400,-14.25,-5.18
KOTAKBANK_CAL,CALENDAR,2024-12-05,2024-12-06,1,SELL_NEAR,3.246,-0.698,1880.0,226.0,1654.0,PROFIT,True,400,400,-7.2,-11.9
KOTAKBANK_CAL,CALENDAR,2025-03-06,2025-03-07,1,BUY_NEAR,-2.141,-1.874,5250.0,630.0,4620.0,INTRADAY,True,400,400,-12.85,0.27
KOTAKBANK_CAL,CALENDAR,2025-05-06,2025-05-07,1,SELL_NEAR,2.645,0.686,9680.0,1162.0,8518.0,INTRADAY,True,400,400,-9.4,-33.6
KOTAKBANK_CAL,CALENDAR,2025-05-08,2025-05-09,1,SELL_NEAR,2.293,0.323,6580.0,790.0,5790.0,INTRADAY,True,400,400,-9.6,-26.05
KOTAKBANK_CAL,CALENDAR,2025-05-12,2025-05-13,1,SELL_NEAR,2.153,0.62,8920.0,1070.0,7850.0,INTRADAY,True,400,400,-9.5,-31.8
KOTAKBANK_CAL,CALENDAR,2025-07-04,2025-07-07,3,SELL_NEAR,2.259,1.613,6320.0,758.0,5562.0,INTRADAY,True,400,400,-9.2,-25.0
KOTAKBANK_CAL,CALENDAR,2025-09-03,2025-09-04,1,SELL_NEAR,2.03,1.491,4500.0,540.0,3960.0,INTRADAY,True,400,400,-9.8,-21.05
KOTAKBANK_CAL,CALENDAR,2025-09-09,2025-09-10,1,SELL_NEAR,2.659,1.632,4700.0,564.0,4136.0,INTRADAY,True,400,400,-9.0,-20.75
KOTAKBANK_CAL,CALENDAR,2025-09-15,2025-09-16,1,SELL_NEAR,2.096,0.565,11320.0,1358.0,9962.0,INTRADAY,True,400,400,-9.0,-37.3
KOTAKBANK_CAL,CALENDAR,2025-10-15,2025-10-16,1,BUY_NEAR,-2.202,0.093,840.0,101.0,739.0,PROFIT,True,400,400,-12.7,-10.6
KOTAKBANK_CAL,CALENDAR,2025-10-20,2025-10-21,1,BUY_NEAR,-2.754,-1.755,7300.0,876.0,6424.0,INTRADAY,True,400,400,-13.4,4.85
KOTAKBANK_CAL,CALENDAR,2025-10-29,2025-10-30,1,BUY_NEAR,-2.23,-1.54,4960.0,595.0,4365.0,INTRADAY,True,400,400,-13.6,-1.2
KOTAKBANK_CAL,CALENDAR,2025-11-04,2025-11-06,2,BUY_NEAR,-2.052,-1.902,5500.0,660.0,4840.0,INTRADAY,True,400,400,-14.1,-0.35
KOTAKBANK_CAL,CALENDAR,2025-11-07,2025-11-10,3,BUY_NEAR,-2.226,-1.522,3620.0,434.0,3186.0,INTRADAY,True,400,400,-14.8,-5.75
KOTAKBANK_CAL,CALENDAR,2025-12-30,2025-12-31,1,SELL_NEAR,2.558,-0.128,880.0,106.0,774.0,PROFIT,True,400,400,-11.6,-13.8
KOTAKBANK_CAL,CALENDAR,2026-01-01,2026-01-02,1,SELL_NEAR,2.498,-2.409,1840.0,221.0,1619.0,PROFIT,True,400,400,-11.4,-16.0
KOTAKBANK_CAL,CALENDAR,2026-01-14,2026-01-19,5,SELL_NEAR,5.25,3.376,11900.0,1428.0,10472.0,INTRADAY,True,2000,2000,-2.5,-8.45
ADANIPORTS_CAL,CALENDAR,2024-04-25,2024-04-26,1,SELL_NEAR,2.394,2.158,3360.0,403.0,2957.0,INTRADAY,True,400,400,-6.7,-15.1
ADANIPORTS_CAL,CALENDAR,2024-04-29,2024-04-30,1,SELL_NEAR,2.024,2.098,3590.0,431.0,3159.0,INTRADAY,True,400,400,-6.7,-15.67
ADANIPORTS_CAL,CALENDAR,2024-05-02,2024-05-03,1,SELL_NEAR,3.206,2.467,11240.0,1349.0,9891.0,INTRADAY,True,400,400,-3.75,-31.85
ADANIPORTS_CAL,CALENDAR,2024-05-06,2024-05-07,1,SELL_NEAR,2.534,2.607,7410.0,889.0,6521.0,INTRADAY,True,400,400,-4.5,-23.03
ADANIPORTS_CAL,CALENDAR,2024-05-08,2024-05-09,1,SELL_NEAR,2.366,2.21,9120.0,1094.0,8026.0,INTRADAY,True,400,400,-3.65,-26.45
ADANIPORTS_CAL,CALENDAR,2024-05-10,2024-05-13,3,SELL_NEAR,2.164,1.795,10770.0,1292.0,9478.0,INTRADAY,True,400,400,-3.1,-30.03
ADANIPORTS_CAL,CALENDAR,2024-05-14,2024-05-15,1,SELL_NEAR,2.241,1.489,5580.0,670.0,4910.0,INTRADAY,True,400,400,-1.9,-15.85
ADANIPORTS_CAL,CALENDAR,2024-06-03,2024-06-04,1,BUY_NEAR,-2.042,-1.08,82730.0,9928.0,72802.0,INTRADAY,True,400,400,-13.7,193.13
ADANIPORTS_CAL,CALENDAR,2024-08-13,2024-08-14,1,SELL_NEAR,2.006,2.08,7060.0,847.0,6213.0,INTRADAY,True,400,400,-9.2,-26.85
ADANIPORTS_CAL,CALENDAR,2024-08-16,2024-08-19,3,SELL_NEAR,2.454,1.171,3670.0,440.0,3230.0,INTRADAY,True,400,400,-8.65,-17.83
ADANIPORTS_CAL,CALENDAR,2024-11-07,2024-11-08,1,SELL_NEAR,2.377,-0.231,840.0,101.0,739.0,PROFIT,True,400,400,-7.2,-9.3
ADANIPORTS_CAL,CALENDAR,2024-12-31,2025-01-01,1,SELL_NEAR,2.599,-0.17,1300.0,156.0,1144.0,PROFIT,True,400,400,-4.9,-8.15
ADANIPORTS_CAL,CALENDAR,2025-02-14,2025-02-17,3,SELL_NEAR,2.392,3.091,9390.0,1127.0,8263.0,INTRADAY,True,400,400,-4.8,-28.27
ADANIPORTS_CAL,CALENDAR,2025-03-17,2025-03-18,1,BUY_NEAR,-2.103,-2.347,4290.0,515.0,3775.0,INTRADAY,True,400,400,-8.3,2.43
ADANIPORTS_CAL,CALENDAR,2025-04-24,2025-04-25,1,SELL_NEAR,3.723,2.537,13000.0,1560.0,11440.0,INTRADAY,True,400,400,-2.9,-35.4
ADANIPORTS_CAL,CALENDAR,2025-04-28,2025-04-29,1,SELL_NEAR,3.329,2.92,4700.0,564.0,4136.0,INTRADAY,True,400,400,-2.2,-13.95
ADANIPORTS_CAL,CALENDAR,2025-04-30,2025-05-02,2,SELL_NEAR,2.524,3.147,12520.0,1502.0,11018.0,INTRADAY,True,400,400,-2.4,-33.7
ADANIPORTS_CAL,CALENDAR,2025-05-05,2025-05-06,1,SELL_NEAR,2.812,2.44,9600.0,1152.0,8448.0,INTRADAY,True,400,400,0.0,-24.0
ADANIPORTS_CAL,CALENDAR,2025-05-07,2025-05-08,1,SELL_NEAR,2.232,2.542,9400.0,1128.0,8272.0,INTRADAY,True,400,400,-0.2,-23.7
ADANIPORTS_CAL,CALENDAR,2025-09-03,2025-09-04,1,SELL_NEAR,3.105,0.666,5795.0,695.0,5100.0,INTRADAY,True,475,475,-5.5,-17.7
ADANIPORTS_CAL,CALENDAR,2025-10-28,2025-10-29,1,BUY_NEAR,-2.846,-3.737,9642.0,1157.0,8485.0,INTRADAY,True,475,475,-9.4,10.9
ADANIPORTS_CAL,CALENDAR,2025-10-30,2025-10-31,1,BUY_NEAR,-2.489,-2.355,4584.0,550.0,4034.0,INTRADAY,True,475,475,-9.9,-0.25
ADANIPORTS_CAL,CALENDAR,2025-11-06,2025-11-07,1,BUY_NEAR,-2.081,-1.251,9999.0,1200.0,8799.0,INTRADAY,True,475,475,-10.1,10.95
ADANIPORTS_CAL,CALENDAR,2025-12-03,2025-12-04,1,BUY_NEAR,-2.197,-1.076,5439.0,653.0,4786.0,INTRADAY,True,475,475,-11.4,0.05
ADANIPORTS_CAL,CALENDAR,2025-12-11,2025-12-12,1,SELL_NEAR,2.087,-0.268,1045.0,125.0,920.0,PROFIT,True,475,475,-7.4,-9.6
ADANIPORTS_CAL,CALENDAR,2025-12-30,2025-12-31,1,SELL_NEAR,2.275,0.95,4109.0,493.0,3616.0,INTRADAY,True,475,475,-7.7,-16.35
ADANIPORTS_CAL,CALENDAR,2026-02-01,2026-02-02,1,SELL_NEAR,4.452,-0.236,3135.0,376.0,2759.0,PROFIT,True,475,475,-2.2,-8.8
