Pair,SymA,SymB,Days,ADF_p,Coint_p,Hurst,HalfLife,Corr,R2,Z_30d,Passes,Sector
SUNPHARMA/CIPLA,SUNPHARMA,CIPLA,742,0.7575,0.6512,1.0148,92.5,0.452,0.832,2.08,False,PHARMA
SUNPHARMA/DRREDDY,SUNPHARMA,DRREDDY,725,0.7555,0.5202,1.0383,238.3,0.106,0.209,-0.66,False,PHARMA
SUNPHARMA/LUPIN,SUNPHARMA,LUPIN,725,0.0129,0.0242,0.9995,68.0,0.555,0.961,-0.21,False,PHARMA
SUNPHARMA/AUROPHARMA,SUNPHARMA,AUROPHARMA,475,0.0002,0.3368,0.9929,22.9,0.558,0.825,1.51,False,PHARMA
SUNPHARMA/BIOCON,SUNPHARMA,BIOCON,501,0.0942,0.437,1.022,28.4,0.333,0.249,0.58,False,PHARMA
SUNPHARMA/DIVISLAB,SUNPHARMA,DIVISLAB,501,0.4042,0.3584,1.0337,114.4,0.415,0.299,-0.11,False,PHARMA
SUNPHARMA/TORNTPHARM,SUNPHARMA,TORNTPHARM,501,0.656,0.4043,0.9896,81.9,0.398,0.29,0.02,False,PHARMA
SUNPHARMA/ALKEM,SUNPHARMA,ALKEM,251,0.6573,0.1203,0.9999,46.0,0.469,0.038,-0.3,False,PHARMA
SUNPHARMA/GLENMARK,SUNPHARMA,GLENMARK,529,0.1619,0.8401,1.0162,71.4,0.364,0.801,0.43,False,PHARMA
SUNPHARMA/LAURUSLABS,SUNPHARMA,LAURUSLABS,251,0.8366,0.1126,1.0316,172.8,0.429,0.007,0.69,False,PHARMA
SUNPHARMA/ZYDUSLIFE,SUNPHARMA,ZYDUSLIFE,725,0.2386,0.6769,1.0239,54.5,0.47,0.773,0.6,False,PHARMA
SUNPHARMA/SYNGENE,SUNPHARMA,SYNGENE,725,0.9924,0.8284,1.0048,DIV,0.334,0.022,1.54,False,PHARMA
CIPLA/DRREDDY,CIPLA,DRREDDY,725,0.7416,0.2729,1.0441,247.1,0.158,0.088,-1.23,False,PHARMA
CIPLA/LUPIN,CIPLA,LUPIN,725,0.2685,0.3669,1.0113,120.9,0.48,0.841,-0.89,False,PHARMA
CIPLA/AUROPHARMA,CIPLA,AUROPHARMA,475,0.0008,0.5795,1.0109,20.6,0.399,0.85,-0.15,False,PHARMA
CIPLA/BIOCON,CIPLA,BIOCON,501,0.1397,0.1847,0.9934,31.8,0.273,0.088,-0.98,False,PHARMA
CIPLA/DIVISLAB,CIPLA,DIVISLAB,501,0.5442,0.0983,1.0134,127.0,0.407,0.045,-1.57,False,PHARMA
CIPLA/TORNTPHARM,CIPLA,TORNTPHARM,501,0.8702,0.4694,1.0096,122.3,0.373,0.063,-0.76,False,PHARMA
CIPLA/ALKEM,CIPLA,ALKEM,251,0.8901,0.6004,1.0055,108.5,0.364,0.002,-0.98,False,PHARMA
CIPLA/GLENMARK,CIPLA,GLENMARK,529,0.57,0.8798,1.0304,127.8,0.337,0.615,-1.33,False,PHARMA
CIPLA/LAURUSLABS,CIPLA,LAURUSLABS,251,0.9366,0.6011,1.0298,594.3,0.452,0.005,-0.69,False,PHARMA
CIPLA/ZYDUSLIFE,CIPLA,ZYDUSLIFE,725,0.3954,0.0964,1.0286,67.6,0.43,0.84,-0.73,False,PHARMA
CIPLA/SYNGENE,CIPLA,SYNGENE,725,0.9316,0.3573,1.0148,687.8,0.28,0.029,1.49,False,PHARMA
DRREDDY/LUPIN,DRREDDY,LUPIN,743,0.5505,0.7728,1.0005,262.6,0.118,0.25,0.46,False,PHARMA
DRREDDY/AUROPHARMA,DRREDDY,AUROPHARMA,493,0.4719,0.5635,1.0226,119.9,-0.223,0.417,1.97,False,PHARMA
DRREDDY/BIOCON,DRREDDY,BIOCON,501,0.5502,0.6533,1.0209,106.3,0.034,0.229,1.26,False,PHARMA
DRREDDY/DIVISLAB,DRREDDY,DIVISLAB,501,0.5583,0.3337,1.0286,155.2,0.102,0.655,0.5,False,PHARMA
DRREDDY/TORNTPHARM,DRREDDY,TORNTPHARM,501,0.6059,0.6745,1.0199,144.7,0.217,0.33,0.64,False,PHARMA
DRREDDY/ALKEM,DRREDDY,ALKEM,251,0.4354,0.2644,1.0253,35.7,0.408,0.095,0.31,False,PHARMA
DRREDDY/GLENMARK,DRREDDY,GLENMARK,546,0.7774,0.7448,1.0184,278.3,0.071,0.218,1.08,False,PHARMA
DRREDDY/LAURUSLABS,DRREDDY,LAURUSLABS,251,0.3869,0.1912,1.0123,143.9,0.41,0.184,0.83,False,PHARMA
DRREDDY/ZYDUSLIFE,DRREDDY,ZYDUSLIFE,743,0.7209,0.9074,1.012,276.8,0.158,0.033,1.99,False,PHARMA
DRREDDY/SYNGENE,DRREDDY,SYNGENE,743,0.7027,0.7585,1.0214,210.4,0.107,0.105,1.48,False,PHARMA
LUPIN/AUROPHARMA,LUPIN,AUROPHARMA,493,0.8315,0.6139,1.0166,181.5,0.597,0.861,1.52,False,PHARMA
LUPIN/BIOCON,LUPIN,BIOCON,501,0.0626,0.2948,1.0262,21.4,0.393,0.436,0.63,False,PHARMA
LUPIN/DIVISLAB,LUPIN,DIVISLAB,501,0.3982,0.4253,1.0491,68.6,0.463,0.5,0.11,False,PHARMA
LUPIN/TORNTPHARM,LUPIN,TORNTPHARM,501,0.1851,0.2919,0.9696,31.7,0.47,0.569,0.66,False,PHARMA
LUPIN/ALKEM,LUPIN,ALKEM,251,0.2024,0.0644,0.9815,19.7,0.506,0.255,-0.24,False,PHARMA
LUPIN/GLENMARK,LUPIN,GLENMARK,546,0.4033,0.4687,1.003,53.0,0.28,0.879,0.56,False,PHARMA
LUPIN/LAURUSLABS,LUPIN,LAURUSLABS,251,0.657,0.0839,1.0025,107.8,0.548,0.129,0.57,False,PHARMA
LUPIN/ZYDUSLIFE,LUPIN,ZYDUSLIFE,743,0.6455,0.8596,1.0269,169.8,0.542,0.757,0.82,False,PHARMA
LUPIN/SYNGENE,LUPIN,SYNGENE,743,0.9958,0.9329,1.0244,DIV,0.37,0.031,1.4,False,PHARMA
AUROPHARMA/BIOCON,AUROPHARMA,BIOCON,251,0.2338,0.1067,0.9787,19.3,0.464,0.1,-1.1,False,PHARMA
AUROPHARMA/DIVISLAB,AUROPHARMA,DIVISLAB,251,0.2583,0.0876,1.0016,15.2,0.428,0.088,-1.43,False,PHARMA
AUROPHARMA/TORNTPHARM,AUROPHARMA,TORNTPHARM,251,0.5088,0.0795,0.989,36.9,0.446,0.031,-1.18,False,PHARMA
AUROPHARMA/ALKEM,AUROPHARMA,ALKEM,251,0.473,0.0891,0.9729,28.6,0.463,0.079,-1.35,False,PHARMA
AUROPHARMA/GLENMARK,AUROPHARMA,GLENMARK,301,0.8599,0.7034,0.9895,111.9,0.626,0.641,-1.09,False,PHARMA
AUROPHARMA/LAURUSLABS,AUROPHARMA,LAURUSLABS,251,0.8286,0.0763,1.0442,166.0,0.503,0.019,-0.22,False,PHARMA
AUROPHARMA/ZYDUSLIFE,AUROPHARMA,ZYDUSLIFE,498,0.1258,0.3728,1.0117,46.7,0.584,0.767,-1.27,False,PHARMA
AUROPHARMA/SYNGENE,AUROPHARMA,SYNGENE,498,0.9623,0.3068,1.0104,DIV,0.277,0.003,1.11,False,PHARMA
BIOCON/DIVISLAB,BIOCON,DIVISLAB,501,0.3804,0.1146,1.0111,41.9,0.402,0.582,-0.74,False,PHARMA
BIOCON/TORNTPHARM,BIOCON,TORNTPHARM,501,0.0122,0.0441,1.0077,14.4,0.293,0.653,-0.4,False,PHARMA
BIOCON/ALKEM,BIOCON,ALKEM,251,0.1552,0.2023,1.0074,16.7,0.432,0.353,-0.71,False,PHARMA
BIOCON/GLENMARK,BIOCON,GLENMARK,304,0.2811,0.2737,1.0479,36.9,0.347,0.704,-0.17,False,PHARMA
BIOCON/LAURUSLABS,BIOCON,LAURUSLABS,251,0.4565,0.0024,1.0437,63.4,0.573,0.643,0.39,False,PHARMA
BIOCON/ZYDUSLIFE,BIOCON,ZYDUSLIFE,501,0.6241,0.329,0.9941,62.6,0.415,0.008,0.04,False,PHARMA
BIOCON/SYNGENE,BIOCON,SYNGENE,501,0.9944,0.2667,1.0159,DIV,0.421,0.001,1.45,False,PHARMA
DIVISLAB/TORNTPHARM,DIVISLAB,TORNTPHARM,501,0.2301,0.4654,1.0254,50.8,0.334,0.651,0.07,False,PHARMA
DIVISLAB/ALKEM,DIVISLAB,ALKEM,251,0.5095,0.3689,1.0461,38.3,0.425,0.078,-0.24,False,PHARMA
DIVISLAB/GLENMARK,DIVISLAB,GLENMARK,304,0.1633,0.501,1.0386,22.8,0.457,0.842,0.68,False,PHARMA
DIVISLAB/LAURUSLABS,DIVISLAB,LAURUSLABS,251,0.8721,0.3073,1.0447,209.8,0.527,0.155,0.88,False,PHARMA
DIVISLAB/ZYDUSLIFE,DIVISLAB,ZYDUSLIFE,501,0.7579,0.229,1.0239,241.9,0.385,0.088,0.62,False,PHARMA
DIVISLAB/SYNGENE,DIVISLAB,SYNGENE,501,0.9868,0.5905,0.9992,DIV,0.333,0.035,1.64,False,PHARMA
TORNTPHARM/ALKEM,TORNTPHARM,ALKEM,251,0.261,0.0612,0.9663,9.5,0.382,0.747,-0.74,False,PHARMA
TORNTPHARM/GLENMARK,TORNTPHARM,GLENMARK,304,0.1611,0.0411,1.021,37.5,0.662,0.938,0.32,False,PHARMA
TORNTPHARM/LAURUSLABS,TORNTPHARM,LAURUSLABS,251,0.7308,0.0375,0.988,78.3,0.395,0.9,0.45,False,PHARMA
TORNTPHARM/ZYDUSLIFE,TORNTPHARM,ZYDUSLIFE,501,0.9277,0.8004,1.0141,483.2,0.344,0.017,0.48,False,PHARMA
TORNTPHARM/SYNGENE,TORNTPHARM,SYNGENE,501,0.999,0.7469,1.0088,DIV,0.346,0.04,1.37,False,PHARMA
ALKEM/LAURUSLABS,ALKEM,LAURUSLABS,251,0.6779,0.1457,1.0162,79.1,0.397,0.732,0.69,False,PHARMA
ALKEM/ZYDUSLIFE,ALKEM,ZYDUSLIFE,251,0.8467,0.9229,1.0215,60.2,0.435,0.029,0.83,False,PHARMA
ALKEM/SYNGENE,ALKEM,SYNGENE,251,0.9957,0.3199,1.0127,DIV,0.305,0.238,1.5,False,PHARMA
GLENMARK/ZYDUSLIFE,GLENMARK,ZYDUSLIFE,551,0.9473,0.9769,1.0127,1422.0,0.27,0.596,0.17,False,PHARMA
GLENMARK/SYNGENE,GLENMARK,SYNGENE,551,0.999,1.0,1.0209,DIV,0.108,0.065,1.48,False,PHARMA
LAURUSLABS/ZYDUSLIFE,LAURUSLABS,ZYDUSLIFE,251,0.8984,0.9433,1.0166,283.1,0.536,0.084,-0.32,False,PHARMA
LAURUSLABS/SYNGENE,LAURUSLABS,SYNGENE,251,0.9988,0.7509,1.0029,DIV,0.43,0.167,1.79,False,PHARMA
ZYDUSLIFE/SYNGENE,ZYDUSLIFE,SYNGENE,748,0.9385,0.8385,1.0352,DIV,0.357,0.055,1.31,False,PHARMA
HDFCBANK/ICICIBANK,HDFCBANK,ICICIBANK,743,0.7936,0.8063,1.005,236.4,0.288,0.005,-0.93,False,BANKING
HDFCBANK/KOTAKBANK,HDFCBANK,KOTAKBANK,743,0.3605,0.5369,0.9993,39.8,0.115,0.061,0.62,False,BANKING
HDFCBANK/AXISBANK,HDFCBANK,AXISBANK,743,0.7246,0.6182,1.0144,148.9,0.271,0.073,-1.11,False,BANKING
HDFCBANK/SBIN,HDFCBANK,SBIN,743,0.8654,0.4644,1.001,326.6,0.22,0.156,-2.28,False,BANKING
HDFCBANK/INDUSINDBK,HDFCBANK,INDUSINDBK,503,0.515,0.8867,1.015,75.4,0.133,0.009,-0.84,False,BANKING
HDFCBANK/BANKBARODA,HDFCBANK,BANKBARODA,743,0.6458,0.4605,0.9923,136.4,0.216,0.172,0.28,False,BANKING
HDFCBANK/PNB,HDFCBANK,PNB,743,0.5381,0.7172,1.0054,183.2,0.19,0.08,-0.14,False,BANKING
HDFCBANK/FEDERALBNK,HDFCBANK,FEDERALBNK,743,0.8747,0.5463,1.0134,345.9,0.198,0.128,-1.21,False,BANKING
HDFCBANK/IDFCFIRSTB,HDFCBANK,IDFCFIRSTB,501,0.7916,0.4413,1.0383,147.5,0.193,0.299,0.12,False,BANKING
HDFCBANK/CANBK,HDFCBANK,CANBK,251,0.8626,0.6156,1.0119,158.8,0.135,0.522,0.72,False,BANKING
HDFCBANK/BANDHANBNK,HDFCBANK,BANDHANBNK,501,0.534,0.8362,0.9815,67.5,0.19,0.076,-2.26,False,BANKING
HDFCBANK/AUBANK,HDFCBANK,AUBANK,743,0.8261,0.3313,1.0318,211.5,0.097,0.274,-0.48,False,BANKING
HDFCBANK/RBLBANK,HDFCBANK,RBLBANK,743,0.7983,0.2292,1.0159,233.5,0.196,0.36,-1.13,False,BANKING
HDFCBANK/INDIANB,HDFCBANK,INDIANB,300,0.9126,0.3597,0.9989,312.0,0.153,0.618,-1.25,False,BANKING
HDFCBANK/YESBANK,HDFCBANK,YESBANK,300,0.826,0.4768,1.0222,121.8,0.142,0.389,0.37,False,BANKING
HDFCBANK/BANKINDIA,HDFCBANK,BANKINDIA,300,0.8885,0.4881,1.0245,195.5,0.139,0.477,-1.19,False,BANKING
HDFCBANK/UNIONBANK,HDFCBANK,UNIONBANK,300,0.8547,0.689,0.967,141.8,0.147,0.249,-0.92,False,BANKING
ICICIBANK/KOTAKBANK,ICICIBANK,KOTAKBANK,743,0.9228,0.9772,1.0218,254.6,0.204,0.047,0.68,False,BANKING
ICICIBANK/AXISBANK,ICICIBANK,AXISBANK,743,0.5185,0.7105,1.0185,114.6,0.557,0.55,-0.4,False,BANKING
ICICIBANK/SBIN,ICICIBANK,SBIN,743,0.7824,0.9426,1.0002,101.4,0.462,0.713,-2.31,False,BANKING
ICICIBANK/INDUSINDBK,ICICIBANK,INDUSINDBK,503,0.5462,0.0483,1.0203,119.7,0.171,0.729,0.03,False,BANKING
ICICIBANK/BANKBARODA,ICICIBANK,BANKBARODA,743,0.3739,0.757,0.9923,62.5,0.372,0.451,1.25,False,BANKING
ICICIBANK/PNB,ICICIBANK,PNB,743,0.3923,0.8607,1.0147,128.3,0.316,0.442,1.12,False,BANKING
ICICIBANK/FEDERALBNK,ICICIBANK,FEDERALBNK,743,0.7441,0.6736,1.0069,61.4,0.236,0.74,-0.72,False,BANKING
ICICIBANK/IDFCFIRSTB,ICICIBANK,IDFCFIRSTB,501,0.2734,0.5969,1.0256,60.2,0.251,0.043,1.44,False,BANKING
ICICIBANK/CANBK,ICICIBANK,CANBK,251,0.8654,0.4454,0.9946,153.6,0.121,0.06,1.51,False,BANKING
ICICIBANK/BANDHANBNK,ICICIBANK,BANDHANBNK,501,0.2008,0.378,0.9802,52.9,0.242,0.235,-1.97,False,BANKING
ICICIBANK/AUBANK,ICICIBANK,AUBANK,743,0.5072,0.7522,1.0229,123.3,0.118,0.078,0.81,False,BANKING
ICICIBANK/RBLBANK,ICICIBANK,RBLBANK,743,0.682,0.8369,1.0132,146.7,0.321,0.1,0.24,False,BANKING
ICICIBANK/INDIANB,ICICIBANK,INDIANB,300,0.9242,0.5848,1.0161,180.7,0.17,0.155,-0.58,False,BANKING
ICICIBANK/YESBANK,ICICIBANK,YESBANK,300,0.4475,0.6473,1.0279,24.8,0.162,0.179,1.58,False,BANKING
ICICIBANK/BANKINDIA,ICICIBANK,BANKINDIA,300,0.899,0.6731,1.0294,100.5,0.198,0.145,-0.87,False,BANKING
ICICIBANK/UNIONBANK,ICICIBANK,UNIONBANK,300,0.608,0.6503,0.9813,39.3,0.184,0.329,-0.66,False,BANKING
KOTAKBANK/AXISBANK,KOTAKBANK,AXISBANK,743,0.8794,0.786,1.0127,176.0,0.074,0.003,-0.69,False,BANKING
KOTAKBANK/SBIN,KOTAKBANK,SBIN,743,0.9719,0.7312,1.0056,DIV,0.146,0.008,-0.73,False,BANKING
KOTAKBANK/INDUSINDBK,KOTAKBANK,INDUSINDBK,503,0.6962,0.9093,1.0018,93.2,0.008,0.088,-0.69,False,BANKING
KOTAKBANK/BANKBARODA,KOTAKBANK,BANKBARODA,743,0.8852,0.766,1.0008,223.0,0.091,0.009,-0.67,False,BANKING
KOTAKBANK/PNB,KOTAKBANK,PNB,743,0.826,0.8043,1.0114,279.0,0.06,0.003,-0.68,False,BANKING
KOTAKBANK/FEDERALBNK,KOTAKBANK,FEDERALBNK,743,0.9691,0.7721,1.0123,DIV,0.137,0.003,-0.7,False,BANKING
KOTAKBANK/IDFCFIRSTB,KOTAKBANK,IDFCFIRSTB,501,0.8845,0.7796,1.0126,155.7,0.102,0.074,-0.68,False,BANKING
KOTAKBANK/CANBK,KOTAKBANK,CANBK,251,0.9786,0.9175,1.0094,DIV,-0.005,0.117,-0.67,False,BANKING
KOTAKBANK/BANDHANBNK,KOTAKBANK,BANDHANBNK,501,0.4553,0.8994,0.985,40.4,0.066,0.006,-0.73,False,BANKING
KOTAKBANK/AUBANK,KOTAKBANK,AUBANK,743,0.9359,0.7688,1.0164,499.8,0.069,0.005,-0.68,False,BANKING
KOTAKBANK/RBLBANK,KOTAKBANK,RBLBANK,743,0.904,0.7914,1.017,343.0,0.103,0.003,-0.69,False,BANKING
KOTAKBANK/INDIANB,KOTAKBANK,INDIANB,300,0.9735,0.8835,1.0276,DIV,-0.03,0.08,-0.7,False,BANKING
KOTAKBANK/YESBANK,KOTAKBANK,YESBANK,300,0.9281,0.948,1.0238,199.3,0.055,0.009,-0.67,False,BANKING
KOTAKBANK/BANKINDIA,KOTAKBANK,BANKINDIA,300,0.9714,0.7194,1.0298,DIV,-0.015,0.175,-0.7,False,BANKING
KOTAKBANK/UNIONBANK,KOTAKBANK,UNIONBANK,300,0.9621,0.7947,0.9664,DIV,-0.117,0.15,-0.69,False,BANKING
AXISBANK/SBIN,AXISBANK,SBIN,743,0.6354,0.1139,1.0101,106.5,0.496,0.766,-3.08,False,BANKING
AXISBANK/INDUSINDBK,AXISBANK,INDUSINDBK,503,0.4798,0.6124,1.0317,111.7,0.292,0.001,0.47,False,BANKING
AXISBANK/BANKBARODA,AXISBANK,BANKBARODA,743,0.0098,0.0393,0.9896,22.6,0.447,0.764,1.15,False,BANKING
AXISBANK/PNB,AXISBANK,PNB,743,0.3105,0.2734,0.9988,125.5,0.401,0.671,1.27,False,BANKING
AXISBANK/FEDERALBNK,AXISBANK,FEDERALBNK,743,0.8045,0.1614,1.0048,119.2,0.33,0.658,-0.9,False,BANKING
AXISBANK/IDFCFIRSTB,AXISBANK,IDFCFIRSTB,501,0.0871,0.1799,1.0052,27.4,0.369,0.32,1.45,False,BANKING
AXISBANK/CANBK,AXISBANK,CANBK,251,0.7473,0.34,1.0105,69.1,0.271,0.702,1.44,False,BANKING
AXISBANK/BANDHANBNK,AXISBANK,BANDHANBNK,501,0.6762,0.5888,0.9734,40.1,0.315,0.021,-2.45,False,BANKING
AXISBANK/AUBANK,AXISBANK,AUBANK,743,0.3496,0.4879,1.0169,73.3,0.221,0.21,0.98,False,BANKING
AXISBANK/RBLBANK,AXISBANK,RBLBANK,743,0.4713,0.5059,1.0143,93.6,0.409,0.382,0.43,False,BANKING
AXISBANK/INDIANB,AXISBANK,INDIANB,300,0.6873,0.4283,1.0161,67.5,0.376,0.653,-0.47,False,BANKING
AXISBANK/YESBANK,AXISBANK,YESBANK,300,0.1317,0.5578,1.0021,16.4,0.292,0.56,1.12,False,BANKING
AXISBANK/BANKINDIA,AXISBANK,BANKINDIA,300,0.4142,0.0986,0.9935,27.6,0.432,0.786,-0.96,False,BANKING
AXISBANK/UNIONBANK,AXISBANK,UNIONBANK,300,0.0967,0.0471,0.9571,14.9,0.397,0.787,-0.59,False,BANKING
SBIN/INDUSINDBK,SBIN,INDUSINDBK,503,0.7826,0.9894,1.0278,196.9,0.327,0.076,2.89,False,BANKING
SBIN/BANKBARODA,SBIN,BANKBARODA,743,0.818,0.924,0.9916,140.7,0.759,0.825,2.56,False,BANKING
SBIN/PNB,SBIN,PNB,743,0.5173,1.0,1.0169,153.1,0.686,0.712,2.85,False,BANKING
SBIN/FEDERALBNK,SBIN,FEDERALBNK,743,0.3396,0.4191,0.9889,38.7,0.462,0.849,1.54,False,BANKING
SBIN/IDFCFIRSTB,SBIN,IDFCFIRSTB,501,0.2918,0.9745,1.0257,32.4,0.424,0.314,2.92,False,BANKING
SBIN/CANBK,SBIN,CANBK,251,0.6831,1.0,1.0126,57.7,0.593,0.905,2.8,False,BANKING
SBIN/BANDHANBNK,SBIN,BANDHANBNK,501,0.9314,0.9881,0.9999,125.7,0.444,0.058,0.18,False,BANKING
SBIN/AUBANK,SBIN,AUBANK,743,0.2458,0.9587,1.0204,99.8,0.19,0.159,2.7,False,BANKING
SBIN/RBLBANK,SBIN,RBLBANK,743,0.655,0.9889,1.0187,137.5,0.5,0.278,2.04,False,BANKING
SBIN/INDIANB,SBIN,INDIANB,300,0.6091,0.9905,1.0019,39.2,0.567,0.863,3.0,False,BANKING
SBIN/YESBANK,SBIN,YESBANK,300,0.9621,1.0,1.0203,DIV,0.491,0.597,2.37,False,BANKING
SBIN/BANKINDIA,SBIN,BANKINDIA,300,0.0613,0.2495,0.9964,14.5,0.662,0.923,2.04,False,BANKING
SBIN/UNIONBANK,SBIN,UNIONBANK,300,0.1149,0.8903,0.9749,18.0,0.596,0.75,2.3,False,BANKING
INDUSINDBK/BANKBARODA,INDUSINDBK,BANKBARODA,503,0.5928,0.7829,1.0215,120.3,0.361,0.031,1.15,False,BANKING
INDUSINDBK/PNB,INDUSINDBK,PNB,503,0.5996,0.845,1.0049,96.6,0.38,0.275,1.49,False,BANKING
INDUSINDBK/FEDERALBNK,INDUSINDBK,FEDERALBNK,503,0.4446,0.8379,1.0065,139.8,0.234,0.342,-0.88,False,BANKING
INDUSINDBK/IDFCFIRSTB,INDUSINDBK,IDFCFIRSTB,501,0.7319,0.9153,1.0125,154.6,0.424,0.167,1.1,False,BANKING
INDUSINDBK/CANBK,INDUSINDBK,CANBK,251,0.1545,0.0116,1.0194,30.7,0.222,0.023,1.61,False,BANKING
INDUSINDBK/BANDHANBNK,INDUSINDBK,BANDHANBNK,501,0.528,0.2929,0.9937,77.6,0.406,0.583,-1.98,False,BANKING
INDUSINDBK/AUBANK,INDUSINDBK,AUBANK,503,0.7466,0.7199,1.0063,220.2,0.319,0.136,0.82,False,BANKING
INDUSINDBK/RBLBANK,INDUSINDBK,RBLBANK,503,0.8167,0.7671,1.0274,205.3,0.38,0.001,0.18,False,BANKING
INDUSINDBK/INDIANB,INDUSINDBK,INDIANB,300,0.668,0.3587,1.04,77.7,0.217,0.033,-0.71,False,BANKING
INDUSINDBK/YESBANK,INDUSINDBK,YESBANK,300,0.2765,0.335,1.0469,37.0,0.319,0.001,1.23,False,BANKING
INDUSINDBK/BANKINDIA,INDUSINDBK,BANKINDIA,300,0.5802,0.3524,1.0403,59.3,0.294,0.006,-1.09,False,BANKING
INDUSINDBK/UNIONBANK,INDUSINDBK,UNIONBANK,300,0.5456,0.3447,1.0159,55.4,0.313,0.02,-0.84,False,BANKING
BANKBARODA/PNB,BANKBARODA,PNB,743,0.4748,0.1682,1.0265,161.7,0.767,0.874,-0.6,False,BANKING
BANKBARODA/FEDERALBNK,BANKBARODA,FEDERALBNK,743,0.6514,0.4099,1.0059,107.4,0.502,0.575,-1.22,False,BANKING
BANKBARODA/IDFCFIRSTB,BANKBARODA,IDFCFIRSTB,501,0.0016,0.0016,1.0109,12.5,0.511,0.715,-0.27,False,BANKING
