symbol,expiry,entry_premium,exit_premium,pnl_pct,pnl_inr,lot,dte,spot
360ONE,2025-10-28,-0.43,-0.273,0.157,931.0,500,4,1185.7
ABB,2023-06-29,-14.157,-14.157,0.0,0.0,250,8,5092.0
ABB,2023-07-27,-11.393,-13.389,-1.9953,-25400.0,250,8,5092.0
ABB,2023-08-31,-14.853,-13.908,0.9446,12025.0,250,7,5092.0
ABB,2023-09-28,-14.704,-14.704,0.0,0.0,250,8,5092.0
ABB,2023-11-30,-14.509,-13.365,1.144,7281.0,125,9,5092.0
ABB,2024-01-25,-6.827,-7.044,-0.217,-1381.0,125,5,5092.0
ABB,2024-02-29,4.086,7.066,-2.9802,-18969.0,125,3,5092.0
ABB,2024-03-28,12.638,12.638,0.0,0.0,125,8,5092.0
ADANIENT,2024-11-28,0.392,0.068,0.3243,2196.0,300,3,2257.5
ADANIGREEN,2025-01-30,-0.501,0.123,0.624,2338.0,375,3,998.95
ADANIPORTS,2024-02-29,-9.62,-10.735,-1.115,-13200.0,800,3,1479.8
ADANIPORTS,2024-03-28,-13.167,-9.116,4.0512,47960.0,800,6,1479.8
ADANIPORTS,2024-04-25,-10.626,-9.998,0.6285,7440.0,800,3,1479.8
ADANIPORTS,2024-05-30,-2.953,-6.639,-3.6863,-21820.0,400,3,1479.8
ADANIPORTS,2024-06-27,-1.439,0.139,1.5779,9340.0,400,3,1479.8
ADANIPORTS,2024-07-25,-1.02,0.27,1.2907,7640.0,400,3,1479.8
ADANIPORTS,2024-09-26,-1.541,-0.615,0.9258,5480.0,400,3,1479.8
ALKEM,2025-02-27,0.317,0.118,0.1986,915.0,100,3,4609.05
ALKEM,2025-03-27,0.377,0.129,0.248,1253.0,100,3,5052.55
AMBER,2025-09-30,-0.588,0.136,0.724,5910.0,100,4,8162.5
AMBER,2025-11-25,-0.403,0.294,0.6972,5017.0,100,4,7196.0
AMBUJACEM,2024-02-29,10.985,10.465,0.5205,5130.0,1800,3,547.55
AMBUJACEM,2024-03-28,7.926,11.725,-3.7987,-37440.0,1800,6,547.55
AMBUJACEM,2024-04-25,12.711,12.711,0.0,0.0,1800,3,547.55
AMBUJACEM,2024-05-30,12.876,12.857,0.0183,90.0,900,12,547.55
AMBUJACEM,2024-08-29,14.848,11.935,2.913,14355.0,900,3,547.55
AMBUJACEM,2024-09-26,13.633,13.935,-0.3013,-1485.0,900,3,547.55
ANGELONE,2025-01-30,-1.317,0.281,1.5984,7073.0,200,3,2212.65
ANGELONE,2025-02-27,-0.339,0.225,0.5642,2565.0,200,3,2273.05
ANGELONE,2025-03-27,-0.32,0.218,0.5378,2555.0,200,3,2374.95
ANGELONE,2025-08-28,0.311,-0.066,0.377,2306.0,250,3,2446.9
ANGELONE,2025-09-30,-1.386,-0.155,1.2308,6573.0,250,4,2136.4
ANGELONE,2025-12-30,0.321,0.183,0.1373,857.0,250,4,2495.8
APOLLOHOSP,2024-02-29,-10.729,-13.925,-3.1965,-29531.0,125,3,7391.0
APOLLOHOSP,2024-03-28,-13.684,-13.949,-0.2659,-2456.0,125,6,7391.0
APOLLOHOSP,2024-04-25,-14.175,-13.809,0.3653,3375.0,125,9,7391.0
APOLLOHOSP,2024-07-25,-13.253,-13.733,-0.4796,-4431.0,125,3,7391.0
APOLLOHOSP,2024-08-29,-8.218,-7.401,0.8172,7550.0,125,3,7391.0
APOLLOHOSP,2024-09-26,-3.109,-3.189,-0.0805,-744.0,125,3,7391.0
ASHOKLEY,2024-11-28,-0.311,-0.142,0.1683,988.0,2500,3,234.91
ASHOKLEY,2025-12-30,-0.309,-0.123,0.186,1624.0,5000,4,174.68
ASHOKLEY,2026-01-27,0.311,0.0,0.3109,3000.0,5000,4,192.98
ASIANPAINT,2023-02-23,-1.863,-6.066,-4.2029,-24180.0,200,3,2876.6
ASIANPAINT,2023-03-29,-2.675,-3.833,-1.1576,-6660.0,200,5,2876.6
ASIANPAINT,2023-04-27,0.508,0.725,-0.2173,-1250.0,200,3,2876.6
ASIANPAINT,2023-05-25,7.45,8.376,-0.9264,-5330.0,200,3,2876.6
ASIANPAINT,2023-06-29,14.847,14.847,0.0,0.0,200,3,2876.6
ASIANPAINT,2023-08-31,13.099,13.172,-0.073,-420.0,200,3,2876.6
ASIANPAINT,2023-09-28,13.627,9.76,3.8674,22250.0,200,6,2876.6
ASIANPAINT,2023-10-26,6.704,2.689,4.0152,23100.0,200,3,2876.6
ASIANPAINT,2023-11-30,8.981,8.713,0.2677,1540.0,200,6,2876.6
ASIANPAINT,2024-01-25,9.111,2.635,6.4764,37260.0,200,5,2876.6
ASIANPAINT,2024-02-29,-0.601,-1.994,-1.3923,-8010.0,200,3,2876.6
ASIANPAINT,2024-03-28,-0.892,-1.079,-0.1877,-1080.0,200,6,2876.6
ASIANPAINT,2024-04-25,-1.187,-0.687,0.5006,2880.0,200,3,2876.6
ASIANPAINT,2024-06-27,0.513,-0.024,0.5371,3090.0,200,3,2876.6
ASIANPAINT,2024-07-25,2.267,0.648,1.6182,9310.0,200,3,2876.6
ASIANPAINT,2024-08-29,10.151,8.474,1.6773,9650.0,200,3,2876.6
ASIANPAINT,2024-09-26,14.116,13.773,0.3424,1970.0,200,3,2876.6
ASIANPAINT,2025-04-24,-0.474,-0.248,0.2269,1110.0,200,3,2445.0
ASIANPAINT,2025-05-29,0.322,0.296,0.0259,120.0,200,3,2327.2
ASTRAL,2023-03-29,-8.357,-7.831,0.5266,2808.0,367,5,1452.6
ASTRAL,2023-04-27,-3.762,-4.01,-0.2478,-1321.0,367,3,1452.6
ASTRAL,2023-05-25,13.958,13.958,0.0,0.0,367,6,1452.6
ASTRAL,2024-10-31,0.326,0.218,0.1083,714.0,367,3,1795.25
ASTRAL,2025-03-27,-0.334,0.05,0.3847,1857.0,367,3,1315.4
ASTRAL,2025-05-29,-0.384,-0.153,0.2313,1281.0,367,3,1508.7
AUBANK,2025-01-30,-0.639,0.294,0.9325,5254.0,1000,3,563.45
AUBANK,2025-03-27,-0.373,-0.126,0.2464,1355.0,1000,3,550.05
AUBANK,2025-04-24,-1.932,0.22,2.1526,13423.0,1000,3,623.6
AUROPHARMA,2023-11-30,-14.226,-13.363,0.8624,11440.0,1100,6,1205.9
AUROPHARMA,2023-12-28,0.324,-0.142,0.4658,5464.0,1100,6,1066.4
AUROPHARMA,2024-01-25,-4.801,-4.76,0.0415,550.0,1100,5,1205.9
AXISBANK,2023-12-28,0.308,0.081,0.2266,1541.0,625,6,1088.3
AXISBANK,2024-02-29,-14.215,-14.215,0.0,0.0,625,6,1275.8
AXISBANK,2024-05-30,-6.941,-8.465,-1.5245,-12156.0,625,3,1275.8
AXISBANK,2024-06-27,-3.606,0.776,4.3816,34938.0,625,3,1275.8
AXISBANK,2024-07-25,0.651,-8.105,8.7553,69812.0,625,3,1275.8
AXISBANK,2024-08-29,-8.203,-7.866,0.337,2687.0,625,3,1275.8
AXISBANK,2024-09-26,-2.156,-0.102,2.0536,16375.0,625,3,1275.8
BAJAJ-AUTO,2024-02-29,-6.007,-10.871,-4.8639,-54062.0,125,3,8892.0
BAJAJ-AUTO,2024-03-28,0.615,2.764,-2.1491,-23887.0,125,6,8892.0
BAJAJ-AUTO,2024-04-25,-0.944,-1.653,-0.7085,-7875.0,125,3,8892.0
BAJAJ-AUTO,2024-05-30,1.577,0.829,0.7473,8306.0,125,3,8892.0
BAJAJ-AUTO,2024-06-27,9.728,6.059,3.6685,40775.0,125,3,8892.0
BAJAJ-AUTO,2024-07-25,5.697,4.175,1.5222,10151.0,75,3,8892.0
BAJAJ-AUTO,2024-08-29,11.571,11.571,0.0,0.0,75,7,8892.0
BANDHANBNK,2024-12-26,0.803,-0.068,0.8711,4010.0,2800,3,164.38
BANDHANBNK,2025-01-30,0.395,-0.027,0.4216,1765.0,2800,3,149.5
BANDHANBNK,2025-05-29,0.314,0.181,0.1326,615.0,2800,3,165.62
BANDHANBNK,2026-01-27,0.301,-0.282,0.5832,3135.0,3600,4,149.33
BANKNIFTY,2023-03-29,0.301,0.053,0.2477,2477.0,25,7,39999.05
BANKNIFTY,2024-09-25,-0.451,0.001,0.4513,3641.0,15,5,53793.2
BANKNIFTY,2024-12-24,0.337,-0.011,0.3484,2695.0,15,5,51575.7
BDL,2025-12-30,0.318,-0.055,0.373,1792.0,325,4,1477.9
BHARATFORG,2023-12-28,0.362,-0.177,0.5386,3236.0,500,6,1201.75
BHARATFORG,2024-01-25,-13.108,-14.75,-1.6416,-11575.0,500,5,1410.2
BHARATFORG,2025-06-26,0.448,-0.016,0.4631,3001.0,500,3,1295.8
BHARTIARTL,2025-11-25,-0.31,-0.241,0.0692,711.0,475,4,2162.7
BHEL,2024-04-25,-7.947,-3.841,4.1062,60900.0,5250,3,282.5
BHEL,2024-05-30,6.035,2.92,3.115,23100.0,2625,3,282.5
BHEL,2024-06-27,4.46,5.204,-0.7434,-5512.0,2625,3,282.5
BHEL,2024-07-25,7.77,10.053,-2.2832,-16931.0,2625,3,282.5
BHEL,2024-08-29,5.434,3.15,2.2832,16931.0,2625,3,282.5
BHEL,2024-09-26,-3.027,-0.549,2.4779,18375.0,2625,3,282.5
BLUESTARCO,2025-07-31,0.316,0.069,0.2473,1397.0,325,3,1738.7
BLUESTARCO,2025-08-28,0.305,0.202,0.1024,634.0,325,3,1904.4
BLUESTARCO,2025-09-30,-0.799,-0.149,0.65,3993.0,325,4,1890.1
BLUESTARCO,2025-11-25,-0.31,-0.137,0.1722,994.0,325,4,1776.3
BLUESTARCO,2026-01-27,0.377,0.072,0.3049,1683.0,325,4,1698.1
BOSCHLTD,2025-02-27,0.313,-0.176,0.4888,3299.0,25,3,26998.4
BOSCHLTD,2025-07-31,-1.491,-0.186,1.3051,12475.0,25,3,38235.0
BPCL,2023-02-23,-10.506,-12.152,-1.6459,-10800.0,1800,3,364.55
BPCL,2023-03-29,-5.006,-6.748,-1.7419,-11430.0,1800,5,364.55
BPCL,2023-04-27,-4.677,-2.647,2.0299,13320.0,1800,3,364.55
BPCL,2023-05-25,-0.617,-0.453,0.1646,1080.0,1800,3,364.55
BPCL,2023-06-29,-1.55,-1.303,0.2469,1620.0,1800,3,364.55
BPCL,2023-07-27,7.105,3.799,3.3054,21690.0,1800,3,364.55
BPCL,2023-08-31,-2.62,-6.611,-3.9912,-26190.0,1800,3,364.55
BPCL,2023-09-28,-3.552,-5.98,-2.4277,-15930.0,1800,3,364.55
BPCL,2023-10-26,-6.131,-8.202,-2.071,-13590.0,1800,3,364.55
BPCL,2023-11-30,12.44,12.44,0.0,0.0,1800,6,364.55
BPCL,2024-07-25,-12.728,-10.506,2.2219,14580.0,1800,7,364.55
BPCL,2024-08-29,-3.731,-2.263,1.4676,9630.0,1800,3,364.55
BPCL,2024-09-26,-7.365,-5.431,1.9339,12690.0,1800,3,364.55
BPCL,2025-01-30,-2.086,-0.175,1.9107,8987.0,1800,3,261.3
BPCL,2025-07-31,-1.2,-0.03,1.1694,7700.0,1975,3,333.4
BRITANNIA,2024-02-29,-14.654,-14.656,-0.0017,-20.0,200,7,5813.0
BRITANNIA,2024-03-28,-14.14,-14.397,-0.2572,-2990.0,200,10,5813.0
BRITANNIA,2024-05-30,-10.101,-10.605,-0.504,-5860.0,200,3,5813.0
BRITANNIA,2024-06-27,-8.544,-6.674,1.8699,21740.0,200,3,5813.0
BRITANNIA,2024-07-25,1.359,0.421,0.9384,10910.0,200,3,5813.0
BRITANNIA,2024-09-26,7.027,7.395,-0.3681,-4280.0,200,3,5813.0
BRITANNIA,2025-01-30,-0.664,-0.053,0.6104,3160.0,100,3,5176.25
BSE,2025-09-30,0.338,-0.074,0.4112,3151.0,375,4,2043.2
CAMS,2025-01-30,0.356,-0.055,0.4108,1956.0,125,3,3808.65
CDSL,2025-06-26,0.325,-0.052,0.3765,2271.0,350,3,1723.3
CGPOWER,2025-01-30,0.369,0.073,0.297,1282.0,725,3,595.45
CHOLAFIN,2025-04-24,-1.301,0.116,1.4176,14706.0,625,3,1659.8
CHOLAFIN,2025-10-28,-0.635,0.174,0.8086,8761.0,625,4,1733.6
CIPLA,2024-01-25,-13.196,-9.449,3.7472,36823.0,650,5,1511.8
CIPLA,2024-02-29,-3.033,-2.203,0.8301,8157.0,650,3,1511.8
CIPLA,2024-03-28,-1.693,-0.903,0.7904,7768.0,650,6,1511.8
CIPLA,2024-04-25,-10.282,-7.121,3.1618,31070.0,650,3,1511.8
CIPLA,2024-05-30,-2.008,-3.281,-1.2733,-12512.0,650,3,1511.8
CIPLA,2024-06-27,-0.331,-1.928,-1.5974,-15697.0,650,3,1511.8
CIPLA,2024-07-25,-1.31,-0.784,0.5259,5168.0,650,3,1511.8
CIPLA,2024-08-29,5.278,6.846,-1.5677,-15405.0,650,3,1511.8
CIPLA,2024-09-26,9.538,7.514,2.0241,19890.0,650,3,1511.8
COALINDIA,2023-11-30,-11.859,-9.453,2.4061,19110.0,2100,6,378.2
COALINDIA,2024-01-25,5.724,2.975,2.7499,21840.0,2100,5,378.2
COALINDIA,2024-02-29,14.781,14.397,0.3834,3045.0,2100,8,378.2
COALINDIA,2024-03-28,14.357,14.833,-0.4759,-3780.0,2100,6,378.2
COLPAL,2023-07-27,-13.402,-8.06,5.3426,40775.0,350,3,2180.6
COLPAL,2023-08-31,-11.116,-11.018,0.0986,752.0,350,3,2180.6
COLPAL,2023-09-28,-7.872,-8.952,-1.08,-8242.0,350,3,2180.6
COLPAL,2023-10-26,-4.586,-6.691,-2.1049,-16065.0,350,3,2180.6
COLPAL,2023-11-30,0.663,0.543,0.1192,910.0,350,6,2180.6
COLPAL,2024-01-25,14.647,14.368,0.2797,2135.0,350,6,2180.6
COLPAL,2025-04-24,0.318,0.187,0.1317,586.0,175,3,2544.0
COLPAL,2025-05-29,-0.797,0.113,0.9093,3995.0,175,3,2510.3
COLPAL,2025-06-26,0.336,-0.122,0.4582,1932.0,175,3,2409.8
CONCOR,2023-03-29,14.036,11.757,2.279,11650.0,1000,5,511.2
CONCOR,2023-12-28,0.33,-0.006,0.3362,2799.0,1000,6,832.4
CROMPTON,2023-02-23,11.483,11.333,0.1496,600.0,1500,3,267.35
CROMPTON,2023-03-29,9.725,9.201,0.5237,2100.0,1500,5,267.35
CROMPTON,2023-04-27,10.08,-2.768,12.8483,51525.0,1500,3,267.35
CROMPTON,2023-05-25,-2.749,2.674,5.4236,21750.0,1500,3,267.35
CROMPTON,2023-06-29,7.855,8.266,-0.4114,-1650.0,1500,3,267.35
CROMPTON,2023-07-27,8.678,8.042,0.6359,3060.0,1800,3,267.35
CROMPTON,2023-08-31,13.11,12.306,0.8042,3870.0,1800,3,267.35
CROMPTON,2023-09-28,9.837,14.513,-4.6755,-22500.0,1800,3,267.35
CROMPTON,2023-10-26,4.676,7.481,-2.8053,-13500.0,1800,3,267.35
CROMPTON,2023-11-30,6.527,6.677,-0.1496,-720.0,1800,6,267.35
CROMPTON,2024-02-29,7.612,8.94,-1.3278,-6390.0,1800,3,267.35
CROMPTON,2024-03-28,1.103,-0.019,1.1221,5400.0,1800,6,267.35
CROMPTON,2024-04-25,14.775,14.775,0.0,0.0,1800,3,267.35
CUMMINSIND,2025-08-28,-0.423,-0.107,0.3157,2450.0,200,3,3880.5
DABUR,2023-02-23,3.665,4.354,-0.6885,-4438.0,1250,3,515.65
DABUR,2023-03-29,4.102,3.772,0.3297,2125.0,1250,5,515.65
DABUR,2023-04-27,1.949,2.793,-0.8436,-5437.0,1250,3,515.65
DABUR,2023-05-25,1.251,2.579,-1.3284,-8563.0,1250,3,515.65
DABUR,2023-06-29,10.463,10.637,-0.1745,-1125.0,1250,3,515.65
DABUR,2023-07-27,9.89,11.083,-1.1927,-7687.0,1250,3,515.65
DABUR,2023-08-31,7.534,7.321,0.2133,1375.0,1250,3,515.65
DABUR,2023-09-28,7.583,6.312,1.2702,8187.0,1250,3,515.65
DABUR,2023-10-26,1.115,-0.921,2.0363,13125.0,1250,3,515.65
DABUR,2023-11-30,4.043,4.412,-0.3685,-2375.0,1250,6,515.65
DABUR,2023-12-28,0.312,0.212,0.1,662.0,1250,6,529.3
DABUR,2024-01-25,4.266,2.899,1.3672,8812.0,1250,5,515.65
DABUR,2025-05-29,0.323,-0.166,0.4887,2934.0,1250,3,480.3
DABUR,2025-07-31,-0.431,-0.019,0.4121,2689.0,1250,3,522.0
DABUR,2025-12-30,0.348,-0.061,0.4087,2494.0,1250,4,488.2
DALBHARAT,2024-10-31,0.356,0.372,-0.0159,-79.0,275,3,1796.3
DALBHARAT,2025-01-30,0.312,0.319,-0.0068,-33.0,275,3,1795.95
DALBHARAT,2025-02-27,0.38,0.318,0.062,296.0,275,3,1737.25
DELHIVERY,2025-04-24,-0.548,-0.2,0.3484,1551.0,1525,3,292.0
DELHIVERY,2025-05-29,-0.676,0.167,0.8424,4657.0,1525,3,362.55
DIVISLAB,2024-09-26,-14.296,-14.296,0.0,0.0,200,6,6373.0
DIXON,2024-08-29,-10.635,-11.687,-1.0518,-15740.0,100,3,14965.0
DIXON,2024-09-26,-4.833,-5.679,-0.8453,-12650.0,100,3,14965.0
DIXON,2025-02-27,0.322,-0.094,0.4163,2923.0,50,3,14043.35
DIXON,2025-05-29,0.338,-0.061,0.3989,3008.0,50,3,15085.0
DIXON,2025-06-26,0.412,-0.07,0.4816,3509.0,50,3,14571.0
DLF,2024-03-28,14.124,14.124,0.0,0.0,1650,8,725.35
DLF,2024-07-25,14.614,11.746,2.8676,17160.0,825,3,725.35
DMART,2025-02-27,0.347,-0.003,0.3501,1875.0,150,3,3570.9
DMART,2025-05-29,0.314,0.01,0.3042,1889.0,150,3,4138.4
DMART,2025-10-28,0.304,0.019,0.2848,1800.0,150,4,4213.9
DMART,2025-12-30,0.314,0.075,0.2396,1361.0,150,4,3787.4
DRREDDY,2025-01-30,-0.501,0.088,0.5889,4408.0,625,3,1197.65
DRREDDY,2025-03-27,-0.388,-0.181,0.2076,1571.0,625,3,1210.3
DRREDDY,2025-11-25,-0.378,-0.251,0.1271,988.0,625,4,1243.9
ETERNAL,2025-04-24,-0.312,-0.03,0.282,1321.0,2000,3,234.24
EXIDEIND,2024-01-25,-14.413,-14.413,0.0,0.0,3600,5,375.35
EXIDEIND,2024-02-29,-12.415,-14.64,-2.2246,-30060.0,3600,3,375.35
EXIDEIND,2024-04-25,8.925,8.925,0.0,0.0,3600,10,375.35
FEDERALBNK,2025-02-27,0.342,-0.017,0.3589,3252.0,5000,3,181.24
GAIL,2024-01-25,-9.121,-9.776,-0.6558,-5490.0,4575,5,182.99
GLENMARK,2024-08-29,-8.253,-7.987,0.2657,3553.0,725,3,1844.2
GLENMARK,2024-09-26,-7.171,-9.107,-1.9358,-25883.0,725,3,1844.2
GMRAIRPORT,2024-03-28,0.318,-0.245,0.563,4981.0,11250,6,78.65
GMRAIRPORT,2024-05-30,0.454,-0.185,0.6386,6336.0,11250,3,88.2
GMRAIRPORT,2024-07-25,0.372,-0.117,0.4892,5174.0,11250,3,94.0
GODREJCP,2023-03-29,-14.322,-14.042,0.28,3150.0,1000,9,1125.2
GODREJCP,2023-04-27,-11.896,-13.207,-1.3109,-14750.0,1000,3,1125.2
GODREJCP,2023-05-25,-9.612,-8.621,0.9909,11150.0,1000,3,1125.2
GODREJCP,2023-06-29,-8.256,-7.719,0.5377,6050.0,1000,3,1125.2
GODREJCP,2023-07-27,-7.887,-8.345,-0.4577,-5150.0,1000,3,1125.2
GODREJCP,2023-08-31,-8.714,-10.629,-1.9152,-21550.0,1000,3,1125.2
GODREJCP,2023-09-28,-13.118,-11.971,1.1465,12900.0,1000,3,1125.2
GODREJCP,2023-10-26,-12.887,-14.34,-1.4531,-16350.0,1000,3,1125.2
GODREJCP,2023-11-30,-10.296,-10.34,-0.0444,-250.0,500,6,1125.2
GODREJCP,2024-02-29,11.149,11.633,-0.4844,-2725.0,500,3,1125.2
GODREJCP,2024-03-28,8.816,11.065,-2.2485,-12650.0,500,6,1125.2
